Posted on,Owner Name,Location,BHK,Balcony,Sq. ft,Price
2023-09-13,Armaan Ravi,Jamalpur,2,1,1687,3260474
2023-09-13,Kashvi Singhal,Noida,2,0,1006,3637680
2023-09-15,Nitara Bhavsar,Khandwa,1,0,1385,9618112
2023-09-15,Shaan Char,Gwalior,3,2,1332,8003439
2023-09-08,Ojas Divan,Raipur,3,1,751,8072054
2023-10-01,Reyansh Kulkarni,Tinsukia,4,0,803,4875211
2023-09-30,Ivana Iyengar,Nandyal,1,1,1192,2902263
2023-09-15,Anvi Badami,Kharagpur,2,1,1277,1741432
2023-09-18,Jayan Ahuja,Bijapur,3,1,664,6632903
2023-09-04,Pihu Gera,Bidar,3,2,1210,5052732
2023-09-05,Anika Mangat,Nanded,2,0,1315,4800472
2023-09-28,Arnav Dube,Tirupati,3,2,777,6939570
2023-10-01,Oorja Mammen,Gulbarga,4,0,668,4486139
2023-09-07,Samaira Viswanathan,Jaipur,3,0,945,1189808
2023-09-23,Taimur Sathe,Delhi,3,1,1600,1489990
2023-09-07,Biju Kannan,Sangli-Miraj & Kupwad,2,1,1168,9198582
2023-09-06,Anahi Bala,Kadapa,4,0,1589,6369878
2023-10-02,Nehmat Kuruvilla,South Dumdum,4,2,1221,1030779
2023-09-16,Anya Viswanathan,Ratlam,2,1,514,7409950
2023-09-09,Riya Doctor,Jalgaon,1,1,855,1305307
2023-09-14,Krish Rajagopal,Chennai,4,2,732,5040967
2023-10-01,Siya Thakur,Bihar Sharif,2,1,1769,5233541
2023-09-12,Shamik Chawla,Vasai-Virar,4,1,1181,1665205
2023-09-23,Kismat Ramakrishnan,Ramgarh,4,0,1101,2340771
2023-09-24,Amira Bali,Faridabad,2,1,1525,4113157
2023-09-21,Navya Reddy,Mumbai,2,0,1179,2524591
2023-09-25,Rati Deshmukh,Durgapur,2,2,1153,2544872
2023-09-15,Arhaan Bhargava,Nagpur,4,1,1712,8030881
2023-09-28,Neysa Ray,Mahbubnagar,2,1,1857,6768093
2023-09-25,Urvi Bedi,Rohtak,3,0,514,6704917
2023-09-14,Hansh Buch,Arrah,1,1,574,9207739
2023-09-30,Diya Varghese,Dewas,2,0,708,9862589
2023-09-11,Romil Sabharwal,Danapur,4,1,942,1078116
2023-09-29,Madhup Bath,Tiruchirappalli,1,0,1584,6698221
2023-09-15,Nayantara Singh,Kolkata,3,0,1832,4333409
2023-10-02,Rania Dixit,Tenali,2,0,754,9496439
2023-09-21,Amani Bora,Salem,1,1,1786,7787489
2023-09-16,Bhamini Kant,Kakinada,3,1,1840,4569577
2023-09-04,Saira Rajagopalan,Hapur,4,2,533,8062583
2023-09-12,Urvi Suresh,Vijayawada,3,0,1176,7849653
2023-10-02,Yashvi Vora,Aligarh,4,2,1066,2309881
2023-09-04,Yuvaan Borah,Bhagalpur,2,2,1627,3265492
2023-09-13,Suhana Manda,Giridih,4,1,1366,8955616
2023-09-13,Anya Majumdar,Salem,1,0,726,4369744
2023-09-15,Dhanuk Bava,Jamnagar,1,2,1393,1225670
2023-09-26,Oorja Kapur,Nadiad,3,0,911,3899143
2023-09-25,Aniruddh Yadav,Dindigul,1,1,1272,3846592
2023-09-04,Indranil Dewan,Nadiad,4,2,1625,2121202
2023-09-04,Arhaan Mallick,Bhavnagar,4,1,1305,5191986
2023-09-21,Khushi Salvi,Etawah,4,2,767,2545771
2023-09-28,Shamik Kulkarni,Gudivada,3,1,1048,6170716
2023-09-12,Saira Lata,Silchar,4,1,1212,3971289
2023-09-12,Samiha Dani,Dhanbad,1,2,1276,3111601
2023-09-18,Sumer Sastry,Kharagpur,2,1,611,4034909
2023-09-29,Stuvan Jhaveri,Ratlam,1,2,586,5805022
2023-09-26,Ela Maharaj,New Delhi,3,1,1205,1470143
2023-09-19,Darshit Bhatia,Bilaspur,1,2,1926,9149334
2023-09-14,Biju Keer,Shimla,4,2,1782,9952118
2023-09-11,Zara Sangha,Meerut,1,0,1185,7482911
2023-09-14,Dhruv Kannan,Sikar,4,0,1407,6894068
2023-09-15,Vivaan Chana,Bardhaman,2,2,1378,8182677
2023-09-08,Taran Dhingra,Panipat,2,1,1918,9804960
2023-09-14,Prisha Upadhyay,Chandigarh,3,1,529,2639744
2023-09-25,Divyansh Deo,Singrauli,1,0,540,8954458
2023-09-20,Miraya Basu,Kumbakonam,3,0,1155,7461635
2023-09-18,Jivin Kade,Kota,2,1,1359,7214206
2023-09-11,Shalv Date,Kozhikode,3,0,1712,7937416
2023-09-24,Rohan Koshy,Malegaon,4,0,1951,7275664
2023-10-02,Zeeshan Atwal,Chennai,1,0,1839,9252314
2023-09-21,Kiaan Batra,Bhatpara,3,0,894,9209620
2023-09-15,Ishaan Tripathi,Jodhpur,4,1,651,9781486
2023-09-08,Jivin Baral,Visakhapatnam,2,1,656,9428966
2023-09-29,Lakshay Chander,Noida,1,1,976,8230269
2023-09-06,Khushi Mangal,Baranagar,2,2,1780,1841844
2023-09-17,Tanya Shan,Ujjain,4,2,1370,7355775
2023-09-06,Jivika Apte,Nangloi Jat,2,2,1517,9134480
2023-09-17,Kavya Bhardwaj,Darbhanga,4,2,1850,3900569
2023-09-15,Amani Mandal,Unnao,1,2,747,6655358
2023-09-25,Hansh Sura,Bikaner,2,2,1653,4673774
2023-09-25,Madhup Kar,Coimbatore,2,2,1907,4934803
2023-09-25,Ishita Srinivasan,Alappuzha,3,2,1528,1371349
2023-09-04,Vidur Uppal,Tenali,2,0,705,9257633
2023-09-20,Ishaan Khare,Dhanbad,1,1,1562,5169846
